0.000000000E0,2.626173198E-2,-5.710363388E-3,-1.724691391E-1,1.745505393E-1
5.004883000E-3,8.118130267E-2,4.511737823E-2,-3.113489151E-1,3.249063383E-1
1.007080100E-2,7.539066672E-2,2.407145500E-2,-9.662818909E-2,1.249007386E-1
1.516723600E-2,5.231827497E-2,9.914159775E-3,1.562023163E-1,1.650292582E-1
2.023315400E-2,4.197959602E-2,-2.932071686E-3,3.599739075E-1,3.624252993E-1
2.529907200E-2,1.885147393E-2,6.561994553E-3,3.258609772E-1,3.264717664E-1
3.036499000E-2,3.454107046E-2,2.811729908E-2,-3.925514221E-2,5.936863015E-2
3.546142600E-2,3.467741609E-2,3.315436840E-2,-4.181013107E-1,4.208449137E-1
4.052734400E-2,9.655416012E-3,7.384085655E-2,-4.966201782E-1,5.021725805E-1
4.559326100E-2,-8.995234966E-3,5.928611755E-2,-2.077817917E-1,2.162614874E-1
5.068969700E-2,1.055589318E-2,7.299542427E-2,1.479558945E-1,1.653200095E-1
5.575561500E-2,-5.928993225E-3,8.383989334E-4,1.656589508E-1,1.657671374E-1
6.082153300E-2,-1.525932550E-2,-1.290607452E-2,4.553890228E-2,4.973133213E-2
6.588745100E-2,-1.954209805E-2,-2.134251595E-2,-7.903957367E-2,8.417036764E-2
7.098388600E-2,-1.185065508E-2,-6.112849712E-2,-1.088409424E-1,1.253933089E-1
7.604980400E-2,3.478926420E-2,-6.064629555E-2,-6.247615814E-2,9.376319322E-2
8.111572200E-2,3.874817491E-2,-5.836117268E-2,-3.450298309E-2,7.808907335E-2
8.621215800E-2,5.920386314E-2,-7.261681557E-2,-1.710224152E-2,9.524067397E-2
9.127807600E-2,8.395814896E-2,-8.219254017E-2,-3.263568878E-2,1.219412671E-1
9.634399400E-2,5.538812280E-2,-7.587730885E-2,-2.013683319E-2,9.607654342E-2
1.014404290E-1,8.597809076E-2,-9.092009068E-2,-2.204608917E-2,1.270618945E-1
1.065063470E-1,7.455831766E-2,-4.111492634E-2,-2.394008636E-2,8.844494127E-2
1.115722650E-1,7.077449560E-2,-4.196166992E-5,-8.342838287E-2,1.094044152E-1
1.166381830E-1,6.285375357E-2,-1.569008827E-2,-9.239006042E-2,1.128392506E-1
1.217346190E-1,4.133242369E-2,8.958220482E-3,-1.311311722E-1,1.377824491E-1
1.268005370E-1,3.433066607E-2,2.846539021E-2,-1.200561523E-1,1.280716705E-1
1.318664550E-1,1.897692680E-3,5.935990810E-2,-7.926464081E-2,9.904586417E-2
1.369323730E-1,-2.969264984E-2,6.655490398E-2,-3.279781342E-2,7.991811599E-2
1.420288080E-1,-7.202887535E-2,9.689605236E-2,-1.561069489E-2,1.217402877E-1
1.470947260E-1,-7.154089212E-2,7.542562485E-2,5.732536316E-3,1.041152539E-1
1.521606440E-1,-7.352009416E-2,1.104944944E-1,8.463382721E-2,1.574075038E-1
1.572570800E-1,-6.385505199E-2,1.259812117E-1,6.595993042E-2,1.558827950E-1
1.623535150E-1,-6.828701496E-2,8.517384529E-2,9.674644470E-2,1.458683478E-1
1.674194330E-1,-5.408635736E-2,1.014117002E-1,9.646320343E-2,1.500493806E-1
1.724853510E-1,-4.255664349E-2,6.818032265E-2,4.026222229E-2,8.989255166E-2
1.775512690E-1,-5.229550600E-2,4.981207848E-2,5.784034729E-2,9.252874626E-2
1.826171870E-1,-7.124364376E-2,2.731597424E-2,4.001045227E-2,8.615483455E-2
